date,type,valueThousands,value
1939-01-01,service-providing,18825,18825000
1939-02-01,service-providing,18879,18879000
1939-03-01,service-providing,18897,18897000
1939-04-01,service-providing,18912,18912000
1939-05-01,service-providing,19001,19001000
1939-06-01,service-providing,19055,19055000
1939-07-01,service-providing,19115,19115000
1939-08-01,service-providing,19168,19168000
1939-09-01,service-providing,19339,19339000
1939-10-01,service-providing,19427,19427000
1939-11-01,service-providing,19463,19463000
1939-12-01,service-providing,19521,19521000
1940-01-01,service-providing,19630,19630000
1940-02-01,service-providing,19692,19692000
1940-03-01,service-providing,19801,19801000
1940-04-01,service-providing,19688,19688000
1940-05-01,service-providing,19841,19841000
1940-06-01,service-providing,19937,19937000
1940-07-01,service-providing,19984,19984000
1940-08-01,service-providing,20095,20095000
1940-09-01,service-providing,20245,20245000
1940-10-01,service-providing,20358,20358000
1940-11-01,service-providing,20463,20463000
1940-12-01,service-providing,20611,20611000
1941-01-01,service-providing,20710,20710000
1941-02-01,service-providing,20861,20861000
1941-03-01,service-providing,20983,20983000
1941-04-01,service-providing,21317,21317000
1941-05-01,service-providing,21462,21462000
1941-06-01,service-providing,21665,21665000
1941-07-01,service-providing,21873,21873000
1941-08-01,service-providing,22081,22081000
1941-09-01,service-providing,22193,22193000
1941-10-01,service-providing,22222,22222000
1941-11-01,service-providing,22278,22278000
1941-12-01,service-providing,22301,22301000
1942-01-01,service-providing,22439,22439000
1942-02-01,service-providing,22464,22464000
1942-03-01,service-providing,22568,22568000
1942-04-01,service-providing,22651,22651000
1942-05-01,service-providing,22771,22771000
1942-06-01,service-providing,22788,22788000
1942-07-01,service-providing,22888,22888000
1942-08-01,service-providing,23160,23160000
1942-09-01,service-providing,23242,23242000
1942-10-01,service-providing,23397,23397000
1942-11-01,service-providing,23454,23454000
1942-12-01,service-providing,23507,23507000
1943-01-01,service-providing,23602,23602000
1943-02-01,service-providing,23708,23708000
1943-03-01,service-providing,23769,23769000
1943-04-01,service-providing,23864,23864000
1943-05-01,service-providing,23857,23857000
1943-06-01,service-providing,23981,23981000
1943-07-01,service-providing,23924,23924000
1943-08-01,service-providing,23797,23797000
1943-09-01,service-providing,23819,23819000
1943-10-01,service-providing,23879,23879000
1943-11-01,service-providing,23960,23960000
1943-12-01,service-providing,23954,23954000
1944-01-01,service-providing,23945,23945000
1944-02-01,service-providing,23960,23960000
1944-03-01,service-providing,23945,23945000
1944-04-01,service-providing,23939,23939000
1944-05-01,service-providing,23954,23954000
1944-06-01,service-providing,24000,24000000
1944-07-01,service-providing,24044,24044000
1944-08-01,service-providing,24066,24066000
1944-09-01,service-providing,24067,24067000
1944-10-01,service-providing,24087,24087000
1944-11-01,service-providing,24147,24147000
1944-12-01,service-providing,24194,24194000
1945-01-01,service-providing,24190,24190000
1945-02-01,service-providing,24233,24233000
1945-03-01,service-providing,24256,24256000
1945-04-01,service-providing,24108,24108000
1945-05-01,service-providing,24145,24145000
1945-06-01,service-providing,24190,24190000
1945-07-01,service-providing,24263,24263000
1945-08-01,service-providing,24243,24243000
1945-09-01,service-providing,24021,24021000
1945-10-01,service-providing,24087,24087000
1945-11-01,service-providing,24297,24297000
1945-12-01,service-providing,24366,24366000
1946-01-01,service-providing,24798,24798000
1946-02-01,service-providing,24936,24936000
1946-03-01,service-providing,25178,25178000
1946-04-01,service-providing,25474,25474000
1946-05-01,service-providing,25474,25474000
1946-06-01,service-providing,25529,25529000
1946-07-01,service-providing,25692,25692000
1946-08-01,service-providing,25914,25914000
1946-09-01,service-providing,26003,26003000
1946-10-01,service-providing,26091,26091000
1946-11-01,service-providing,26238,26238000
1946-12-01,service-providing,26215,26215000
1947-01-01,service-providing,26322,26322000
1947-02-01,service-providing,26357,26357000
1947-03-01,service-providing,26411,26411000
1947-04-01,service-providing,26321,26321000
1947-05-01,service-providing,26462,26462000
1947-06-01,service-providing,26557,26557000
1947-07-01,service-providing,26637,26637000
1947-08-01,service-providing,26680,26680000
1947-09-01,service-providing,26805,26805000
1947-10-01,service-providing,26912,26912000
1947-11-01,service-providing,26967,26967000
1947-12-01,service-providing,27018,27018000
1948-01-01,service-providing,27054,27054000
1948-02-01,service-providing,27086,27086000
1948-03-01,service-providing,27139,27139000
1948-04-01,service-providing,27077,27077000
1948-05-01,service-providing,27288,27288000
1948-06-01,service-providing,27401,27401000
1948-07-01,service-providing,27511,27511000
1948-08-01,service-providing,27523,27523000
1948-09-01,service-providing,27553,27553000
1948-10-01,service-providing,27562,27562000
1948-11-01,service-providing,27593,27593000
1948-12-01,service-providing,27615,27615000
1949-01-01,service-providing,27498,27498000
1949-02-01,service-providing,27478,27478000
1949-03-01,service-providing,27392,27392000
1949-04-01,service-providing,27551,27551000
1949-05-01,service-providing,27492,27492000
1949-06-01,service-providing,27388,27388000
1949-07-01,service-providing,27309,27309000
1949-08-01,service-providing,27297,27297000
1949-09-01,service-providing,27377,27377000
1949-10-01,service-providing,27203,27203000
1949-11-01,service-providing,27202,27202000
1949-12-01,service-providing,27305,27305000
1950-01-01,service-providing,27271,27271000
1950-02-01,service-providing,27262,27262000
1950-03-01,service-providing,27472,27472000
1950-04-01,service-providing,27664,27664000
1950-05-01,service-providing,27638,27638000
1950-06-01,service-providing,27795,27795000
1950-07-01,service-providing,27990,27990000
1950-08-01,service-providing,28275,28275000
1950-09-01,service-providing,28398,28398000
1950-10-01,service-providing,28457,28457000
1950-11-01,service-providing,28488,28488000
1950-12-01,service-providing,28578,28578000
1951-01-01,service-providing,28770,28770000
1951-02-01,service-providing,28911,28911000
1951-03-01,service-providing,29119,29119000
1951-04-01,service-providing,29051,29051000
1951-05-01,service-providing,29123,29123000
1951-06-01,service-providing,29238,29238000
1951-07-01,service-providing,29314,29314000
1951-08-01,service-providing,29303,29303000
1951-09-01,service-providing,29332,29332000
1951-10-01,service-providing,29376,29376000
1951-11-01,service-providing,29530,29530000
1951-12-01,service-providing,29616,29616000
1952-01-01,service-providing,29577,29577000
1952-02-01,service-providing,29709,29709000
1952-03-01,service-providing,29729,29729000
1952-04-01,service-providing,29814,29814000
1952-05-01,service-providing,29858,29858000
1952-06-01,service-providing,29863,29863000
1952-07-01,service-providing,29875,29875000
1952-08-01,service-providing,29996,29996000
1952-09-01,service-providing,30114,30114000
1952-10-01,service-providing,30285,30285000
1952-11-01,service-providing,30343,30343000
1952-12-01,service-providing,30556,30556000
1953-01-01,service-providing,30423,30423000
1953-02-01,service-providing,30498,30498000
1953-03-01,service-providing,30564,30564000
1953-04-01,service-providing,30527,30527000
1953-05-01,service-providing,30560,30560000
1953-06-01,service-providing,30610,30610000
1953-07-01,service-providing,30626,30626000
1953-08-01,service-providing,30655,30655000
1953-09-01,service-providing,30642,30642000
1953-10-01,service-providing,30662,30662000
1953-11-01,service-providing,30593,30593000
1953-12-01,service-providing,30530,30530000
1954-01-01,service-providing,30506,30506000
1954-02-01,service-providing,30502,30502000
1954-03-01,service-providing,30409,30409000
1954-04-01,service-providing,30577,30577000
1954-05-01,service-providing,30489,30489000
1954-06-01,service-providing,30495,30495000
1954-07-01,service-providing,30555,30555000
1954-08-01,service-providing,30575,30575000
1954-09-01,service-providing,30625,30625000
1954-10-01,service-providing,30621,30621000
1954-11-01,service-providing,30742,30742000
1954-12-01,service-providing,30823,30823000
1955-01-01,service-providing,30887,30887000
1955-02-01,service-providing,30918,30918000
1955-03-01,service-providing,31052,31052000
1955-04-01,service-providing,31181,31181000
1955-05-01,service-providing,31289,31289000
1955-06-01,service-providing,31459,31459000
1955-07-01,service-providing,31611,31611000
1955-08-01,service-providing,31679,31679000
1955-09-01,service-providing,31839,31839000
1955-10-01,service-providing,31947,31947000
1955-11-01,service-providing,32038,32038000
1955-12-01,service-providing,32197,32197000
1956-01-01,service-providing,32310,32310000
1956-02-01,service-providing,32436,32436000
1956-03-01,service-providing,32603,32603000
1956-04-01,service-providing,32564,32564000
1956-05-01,service-providing,32681,32681000
1956-06-01,service-providing,32681,32681000
1956-07-01,service-providing,32565,32565000
1956-08-01,service-providing,32709,32709000
1956-09-01,service-providing,32744,32744000
1956-10-01,service-providing,32859,32859000
1956-11-01,service-providing,32935,32935000
1956-12-01,service-providing,33003,33003000
1957-01-01,service-providing,33054,33054000
1957-02-01,service-providing,33164,33164000
1957-03-01,service-providing,33220,33220000
1957-04-01,service-providing,33351,33351000
1957-05-01,service-providing,33316,33316000
1957-06-01,service-providing,33290,33290000
1957-07-01,service-providing,33388,33388000
1957-08-01,service-providing,33400,33400000
1957-09-01,service-providing,33389,33389000
1957-10-01,service-providing,33342,33342000
1957-11-01,service-providing,33298,33298000
1957-12-01,service-providing,33273,33273000
1958-01-01,service-providing,33174,33174000
1958-02-01,service-providing,33047,33047000
1958-03-01,service-providing,32964,32964000
1958-04-01,service-providing,32907,32907000
1958-05-01,service-providing,32906,32906000
1958-06-01,service-providing,32930,32930000
1958-07-01,service-providing,33001,33001000
1958-08-01,service-providing,33086,33086000
1958-09-01,service-providing,33175,33175000
1958-10-01,service-providing,33267,33267000
1958-11-01,service-providing,33334,33334000
1958-12-01,service-providing,33493,33493000
1959-01-01,service-providing,33682,33682000
1959-02-01,service-providing,33798,33798000
1959-03-01,service-providing,33945,33945000
1959-04-01,service-providing,34052,34052000
1959-05-01,service-providing,34172,34172000
1959-06-01,service-providing,34219,34219000
1959-07-01,service-providing,34275,34275000
1959-08-01,service-providing,34287,34287000
1959-09-01,service-providing,34376,34376000
1959-10-01,service-providing,34433,34433000
1959-11-01,service-providing,34526,34526000
1959-12-01,service-providing,34749,34749000
1960-01-01,service-providing,34783,34783000
1960-02-01,service-providing,34908,34908000
1960-03-01,service-providing,35081,35081000
1960-04-01,service-providing,35367,35367000
1960-05-01,service-providing,35101,35101000
1960-06-01,service-providing,35108,35108000
1960-07-01,service-providing,35136,35136000
1960-08-01,service-providing,35167,35167000
1960-09-01,service-providing,35170,35170000
1960-10-01,service-providing,35190,35190000
1960-11-01,service-providing,35162,35162000
1960-12-01,service-providing,35194,35194000
1961-01-01,service-providing,35175,35175000
1961-02-01,service-providing,35139,35139000
1961-03-01,service-providing,35221,35221000
1961-04-01,service-providing,35195,35195000
1961-05-01,service-providing,35263,35263000
1961-06-01,service-providing,35359,35359000
1961-07-01,service-providing,35483,35483000
1961-08-01,service-providing,35573,35573000
1961-09-01,service-providing,35658,35658000
1961-10-01,service-providing,35717,35717000
1961-11-01,service-providing,35815,35815000
1961-12-01,service-providing,35891,35891000
1962-01-01,service-providing,35955,35955000
1962-02-01,service-providing,36079,36079000
1962-03-01,service-providing,36166,36166000
1962-04-01,service-providing,36344,36344000
1962-05-01,service-providing,36375,36375000
1962-06-01,service-providing,36458,36458000
1962-07-01,service-providing,36498,36498000
1962-08-01,service-providing,36587,36587000
1962-09-01,service-providing,36673,36673000
1962-10-01,service-providing,36740,36740000
1962-11-01,service-providing,36796,36796000
1962-12-01,service-providing,36809,36809000
1963-01-01,service-providing,36858,36858000
1963-02-01,service-providing,37002,37002000
1963-03-01,service-providing,37087,37087000
1963-04-01,service-providing,37237,37237000
1963-05-01,service-providing,37217,37217000
1963-06-01,service-providing,37288,37288000
1963-07-01,service-providing,37371,37371000
1963-08-01,service-providing,37473,37473000
1963-09-01,service-providing,37595,37595000
1963-10-01,service-providing,37766,37766000
1963-11-01,service-providing,37799,37799000
1963-12-01,service-providing,37868,37868000
1964-01-01,service-providing,38081,38081000
1964-02-01,service-providing,38183,38183000
1964-03-01,service-providing,38310,38310000
1964-04-01,service-providing,38329,38329000
1964-05-01,service-providing,38459,38459000
1964-06-01,service-providing,38537,38537000
1964-07-01,service-providing,38672,38672000
1964-08-01,service-providing,38809,38809000
1964-09-01,service-providing,38960,38960000
1964-10-01,service-providing,39070,39070000
1964-11-01,service-providing,39192,39192000
1964-12-01,service-providing,39310,39310000
1965-01-01,service-providing,39409,39409000
1965-02-01,service-providing,39584,39584000
1965-03-01,service-providing,39711,39711000
1965-04-01,service-providing,39942,39942000
1965-05-01,service-providing,40047,40047000
1965-06-01,service-providing,40168,40168000
1965-07-01,service-providing,40354,40354000
1965-08-01,service-providing,40502,40502000
1965-09-01,service-providing,40682,40682000
1965-10-01,service-providing,40824,40824000
1965-11-01,service-providing,40975,40975000
1965-12-01,service-providing,41171,41171000
1966-01-01,service-providing,41315,41315000
1966-02-01,service-providing,41481,41481000
1966-03-01,service-providing,41677,41677000
1966-04-01,service-providing,41869,41869000
1966-05-01,service-providing,42037,42037000
1966-06-01,service-providing,42265,42265000
1966-07-01,service-providing,42429,42429000
1966-08-01,service-providing,42535,42535000
1966-09-01,service-providing,42695,42695000
1966-10-01,service-providing,42863,42863000
1966-11-01,service-providing,43031,43031000
1966-12-01,service-providing,43191,43191000
1967-01-01,service-providing,43350,43350000
1967-02-01,service-providing,43442,43442000
1967-03-01,service-providing,43611,43611000
1967-04-01,service-providing,43624,43624000
1967-05-01,service-providing,43841,43841000
1967-06-01,service-providing,43989,43989000
1967-07-01,service-providing,44116,44116000
1967-08-01,service-providing,44256,44256000
1967-09-01,service-providing,44389,44389000
1967-10-01,service-providing,44446,44446000
1967-11-01,service-providing,44707,44707000
1967-12-01,service-providing,44863,44863000
1968-01-01,service-providing,44887,44887000
1968-02-01,service-providing,45098,45098000
1968-03-01,service-providing,45176,45176000
1968-04-01,service-providing,45349,45349000
1968-05-01,service-providing,45397,45397000
1968-06-01,service-providing,45641,45641000
1968-07-01,service-providing,45797,45797000
1968-08-01,service-providing,45980,45980000
1968-09-01,service-providing,46094,46094000
1968-10-01,service-providing,46302,46302000
1968-11-01,service-providing,46472,46472000
1968-12-01,service-providing,46631,46631000
1969-01-01,service-providing,46795,46795000
1969-02-01,service-providing,46944,46944000
1969-03-01,service-providing,47092,47092000
1969-04-01,service-providing,47257,47257000
1969-05-01,service-providing,47429,47429000
1969-06-01,service-providing,47655,47655000
1969-07-01,service-providing,47739,47739000
1969-08-01,service-providing,47897,47897000
1969-09-01,service-providing,47926,47926000
1969-10-01,service-providing,48145,48145000
1969-11-01,service-providing,48246,48246000
1969-12-01,service-providing,48357,48357000
1970-01-01,service-providing,48450,48450000
1970-02-01,service-providing,48558,48558000
1970-03-01,service-providing,48713,48713000
1970-04-01,service-providing,48796,48796000
1970-05-01,service-providing,48788,48788000
1970-06-01,service-providing,48788,48788000
1970-07-01,service-providing,48858,48858000
1970-08-01,service-providing,48832,48832000
1970-09-01,service-providing,48956,48956000
1970-10-01,service-providing,49044,49044000
1970-11-01,service-providing,49064,49064000
1970-12-01,service-providing,49119,49119000
1971-01-01,service-providing,49271,49271000
1971-02-01,service-providing,49293,49293000
1971-03-01,service-providing,49369,49369000
1971-04-01,service-providing,49484,49484000
1971-05-01,service-providing,49602,49602000
1971-06-01,service-providing,49686,49686000
1971-07-01,service-providing,49751,49751000
1971-08-01,service-providing,49803,49803000
1971-09-01,service-providing,49964,49964000
1971-10-01,service-providing,50038,50038000
1971-11-01,service-providing,50163,50163000
1971-12-01,service-providing,50368,50368000
1972-01-01,service-providing,50576,50576000
1972-02-01,service-providing,50733,50733000
1972-03-01,service-providing,50908,50908000
1972-04-01,service-providing,51063,51063000
1972-05-01,service-providing,51247,51247000
1972-06-01,service-providing,51476,51476000
1972-07-01,service-providing,51547,51547000
1972-08-01,service-providing,51741,51741000
1972-09-01,service-providing,51808,51808000
1972-10-01,service-providing,52061,52061000
1972-11-01,service-providing,52285,52285000
1972-12-01,service-providing,52496,52496000
1973-01-01,service-providing,52662,52662000
1973-02-01,service-providing,52854,52854000
1973-03-01,service-providing,53022,53022000
1973-04-01,service-providing,53139,53139000
1973-05-01,service-providing,53266,53266000
1973-06-01,service-providing,53402,53402000
1973-07-01,service-providing,53391,53391000
1973-08-01,service-providing,53609,53609000
1973-09-01,service-providing,53728,53728000
1973-10-01,service-providing,53966,53966000
1973-11-01,service-providing,54201,54201000
1973-12-01,service-providing,54252,54252000
1974-01-01,service-providing,54391,54391000
1974-02-01,service-providing,54536,54536000
1974-03-01,service-providing,54609,54609000
1974-04-01,service-providing,54712,54712000
1974-05-01,service-providing,54914,54914000
1974-06-01,service-providing,55013,55013000
1974-07-01,service-providing,55174,55174000
1974-08-01,service-providing,55223,55223000
1974-09-01,service-providing,55336,55336000
1974-10-01,service-providing,55512,55512000
1974-11-01,service-providing,55492,55492000
1974-12-01,service-providing,55349,55349000
1975-01-01,service-providing,55319,55319000
1975-02-01,service-providing,55406,55406000
1975-03-01,service-providing,55374,55374000
1975-04-01,service-providing,55351,55351000
1975-05-01,service-providing,55527,55527000
1975-06-01,service-providing,55503,55503000
1975-07-01,service-providing,55789,55789000
1975-08-01,service-providing,55977,55977000
1975-09-01,service-providing,55944,55944000
1975-10-01,service-providing,56156,56156000
1975-11-01,service-providing,56243,56243000
1975-12-01,service-providing,56415,56415000
1976-01-01,service-providing,56704,56704000
1976-02-01,service-providing,56923,56923000
1976-03-01,service-providing,57068,57068000
1976-04-01,service-providing,57242,57242000
1976-05-01,service-providing,57324,57324000
1976-06-01,service-providing,57394,57394000
1976-07-01,service-providing,57559,57559000
1976-08-01,service-providing,57666,57666000
1976-09-01,service-providing,57750,57750000
1976-10-01,service-providing,57874,57874000
1976-11-01,service-providing,58033,58033000
1976-12-01,service-providing,58187,58187000
1977-01-01,service-providing,58370,58370000
1977-02-01,service-providing,58510,58510000
1977-03-01,service-providing,58719,58719000
1977-04-01,service-providing,58921,58921000
1977-05-01,service-providing,59169,59169000
1977-06-01,service-providing,59442,59442000
1977-07-01,service-providing,59728,59728000
1977-08-01,service-providing,59951,59951000
1977-09-01,service-providing,60288,60288000
1977-10-01,service-providing,60521,60521000
1977-11-01,service-providing,60802,60802000
1977-12-01,service-providing,61039,61039000
1978-01-01,service-providing,61220,61220000
1978-02-01,service-providing,61495,61495000
1978-03-01,service-providing,61811,61811000
1978-04-01,service-providing,62154,62154000
1978-05-01,service-providing,62427,62427000
1978-06-01,service-providing,62712,62712000
1978-07-01,service-providing,62904,62904000
1978-08-01,service-providing,63109,63109000
1978-09-01,service-providing,63177,63177000
1978-10-01,service-providing,63408,63408000
1978-11-01,service-providing,63713,63713000
1978-12-01,service-providing,63913,63913000
1979-01-01,service-providing,64068,64068000
1979-02-01,service-providing,64271,64271000
1979-03-01,service-providing,64481,64481000
1979-04-01,service-providing,64459,64459000
1979-05-01,service-providing,64718,64718000
1979-06-01,service-providing,64947,64947000
1979-07-01,service-providing,65054,65054000
1979-08-01,service-providing,65241,65241000
1979-09-01,service-providing,65239,65239000
1979-10-01,service-providing,65443,65443000
1979-11-01,service-providing,65626,65626000
1979-12-01,service-providing,65702,65702000
1980-01-01,service-providing,65851,65851000
1980-02-01,service-providing,66009,66009000
1980-03-01,service-providing,66176,66176000
1980-04-01,service-providing,66342,66342000
1980-05-01,service-providing,66186,66186000
1980-06-01,service-providing,66133,66133000
1980-07-01,service-providing,66142,66142000
1980-08-01,service-providing,66239,66239000
1980-09-01,service-providing,66282,66282000
1980-10-01,service-providing,66478,66478000
1980-11-01,service-providing,66624,66624000
1980-12-01,service-providing,66761,66761000
1981-01-01,service-providing,66881,66881000
1981-02-01,service-providing,66987,66987000
1981-03-01,service-providing,67007,67007000
1981-04-01,service-providing,67132,67132000
1981-05-01,service-providing,67148,67148000
1981-06-01,service-providing,67200,67200000
1981-07-01,service-providing,67299,67299000
1981-08-01,service-providing,67307,67307000
1981-09-01,service-providing,67267,67267000
1981-10-01,service-providing,67329,67329000
1981-11-01,service-providing,67296,67296000
1981-12-01,service-providing,67239,67239000
1982-01-01,service-providing,67203,67203000
1982-02-01,service-providing,67202,67202000
1982-03-01,service-providing,67220,67220000
1982-04-01,service-providing,67154,67154000
1982-05-01,service-providing,67223,67223000
1982-06-01,service-providing,67222,67222000
1982-07-01,service-providing,67087,67087000
1982-08-01,service-providing,67095,67095000
1982-09-01,service-providing,67037,67037000
1982-10-01,service-providing,67028,67028000
1982-11-01,service-providing,67050,67050000
1982-12-01,service-providing,67083,67083000
1983-01-01,service-providing,67233,67233000
1983-02-01,service-providing,67241,67241000
1983-03-01,service-providing,67441,67441000
1983-04-01,service-providing,67635,67635000
1983-05-01,service-providing,67815,67815000
1983-06-01,service-providing,68072,68072000
1983-07-01,service-providing,68334,68334000
1983-08-01,service-providing,67922,67922000
1983-09-01,service-providing,68866,68866000
1983-10-01,service-providing,68974,68974000
1983-11-01,service-providing,69177,69177000
1983-12-01,service-providing,69427,69427000
1984-01-01,service-providing,69731,69731000
1984-02-01,service-providing,70011,70011000
1984-03-01,service-providing,70220,70220000
1984-04-01,service-providing,70487,70487000
1984-05-01,service-providing,70709,70709000
1984-06-01,service-providing,70982,70982000
1984-07-01,service-providing,71218,71218000
1984-08-01,service-providing,71424,71424000
1984-09-01,service-providing,71727,71727000
1984-10-01,service-providing,72003,72003000
1984-11-01,service-providing,72343,72343000
1984-12-01,service-providing,72434,72434000
1985-01-01,service-providing,72700,72700000
1985-02-01,service-providing,72882,72882000
1985-03-01,service-providing,73181,73181000
1985-04-01,service-providing,73394,73394000
1985-05-01,service-providing,73680,73680000
1985-06-01,service-providing,73867,73867000
1985-07-01,service-providing,74099,74099000
1985-08-01,service-providing,74294,74294000
1985-09-01,service-providing,74517,74517000
1985-10-01,service-providing,74704,74704000
1985-11-01,service-providing,74923,74923000
1985-12-01,service-providing,75091,75091000
1986-01-01,service-providing,75202,75202000
1986-02-01,service-providing,75362,75362000
1986-03-01,service-providing,75506,75506000
1986-04-01,service-providing,75694,75694000
1986-05-01,service-providing,75899,75899000
1986-06-01,service-providing,75892,75892000
1986-07-01,service-providing,76238,76238000
1986-08-01,service-providing,76363,76363000
1986-09-01,service-providing,76718,76718000
1986-10-01,service-providing,76913,76913000
1986-11-01,service-providing,77104,77104000
1986-12-01,service-providing,77272,77272000
1987-01-01,service-providing,77446,77446000
1987-02-01,service-providing,77623,77623000
1987-03-01,service-providing,77857,77857000
1987-04-01,service-providing,78157,78157000
1987-05-01,service-providing,78338,78338000
1987-06-01,service-providing,78510,78510000
1987-07-01,service-providing,78792,78792000
1987-08-01,service-providing,78914,78914000
1987-09-01,service-providing,79081,79081000
1987-10-01,service-providing,79483,79483000
1987-11-01,service-providing,79661,79661000
1987-12-01,service-providing,79889,79889000
1988-01-01,service-providing,80085,80085000
1988-02-01,service-providing,80445,80445000
1988-03-01,service-providing,80665,80665000
1988-04-01,service-providing,80852,80852000
1988-05-01,service-providing,81066,81066000
1988-06-01,service-providing,81375,81375000
1988-07-01,service-providing,81584,81584000
1988-08-01,service-providing,81748,81748000
1988-09-01,service-providing,82071,82071000
1988-10-01,service-providing,82289,82289000
1988-11-01,service-providing,82587,82587000
1988-12-01,service-providing,82844,82844000
1989-01-01,service-providing,83064,83064000
1989-02-01,service-providing,83347,83347000
1989-03-01,service-providing,83552,83552000
1989-04-01,service-providing,83691,83691000
1989-05-01,service-providing,83824,83824000
1989-06-01,service-providing,83975,83975000
1989-07-01,service-providing,84042,84042000
1989-08-01,service-providing,84072,84072000
1989-09-01,service-providing,84369,84369000
1989-10-01,service-providing,84479,84479000
1989-11-01,service-providing,84743,84743000
1989-12-01,service-providing,84887,84887000
1990-01-01,service-providing,85217,85217000
1990-02-01,service-providing,85364,85364000
1990-03-01,service-providing,85621,85621000
1990-04-01,service-providing,85720,85720000
1990-05-01,service-providing,85951,85951000
1990-06-01,service-providing,86007,86007000
1990-07-01,service-providing,86078,86078000
1990-08-01,service-providing,85968,85968000
1990-09-01,service-providing,85947,85947000
1990-10-01,service-providing,85894,85894000
1990-11-01,service-providing,85931,85931000
1990-12-01,service-providing,85963,85963000
1991-01-01,service-providing,85994,85994000
1991-02-01,service-providing,85834,85834000
1991-03-01,service-providing,85795,85795000
1991-04-01,service-providing,85677,85677000
1991-05-01,service-providing,85631,85631000
1991-06-01,service-providing,85763,85763000
1991-07-01,service-providing,85785,85785000
1991-08-01,service-providing,85817,85817000
1991-09-01,service-providing,85870,85870000
1991-10-01,service-providing,85939,85939000
1991-11-01,service-providing,85980,85980000
1991-12-01,service-providing,86054,86054000
1992-01-01,service-providing,86156,86156000
1992-02-01,service-providing,86169,86169000
1992-03-01,service-providing,86238,86238000
1992-04-01,service-providing,86387,86387000
1992-05-01,service-providing,86514,86514000
1992-06-01,service-providing,86618,86618000
1992-07-01,service-providing,86719,86719000
1992-08-01,service-providing,86880,86880000
1992-09-01,service-providing,86939,86939000
1992-10-01,service-providing,87110,87110000
1992-11-01,service-providing,87230,87230000
1992-12-01,service-providing,87419,87419000
1993-01-01,service-providing,87661,87661000
1993-02-01,service-providing,87856,87856000
1993-03-01,service-providing,87852,87852000
1993-04-01,service-providing,88165,88165000
1993-05-01,service-providing,88379,88379000
1993-06-01,service-providing,88584,88584000
1993-07-01,service-providing,88872,88872000
1993-08-01,service-providing,89003,89003000
1993-09-01,service-providing,89196,89196000
1993-10-01,service-providing,89427,89427000
1993-11-01,service-providing,89637,89637000
